i_rep;i_fol;alg;i_run;acc_train;acc_test;a0;a1;a2
1;3;RealSpacePSO;6;7.907001113191554;8.304565508449238;0.0373516491064968;3.0810946262108243;0.41429551547291554
1;3;RealSpacePSO;7;7.907001131997167;8.304566129848261;0.03735173437817577;3.0810977382033498;0.414288374970542
1;3;RealSpacePSO;8;7.907001110016767;8.304565564935743;0.0373516466244364;3.0810948984299182;0.41429495825851526
1;3;RealSpacePSO;9;7.907001109113088;8.30456592341322;0.03735173262458888;3.0810989233083332;0.41428670616736524
1;3;RealSpacePSO;10;7.907005833525087;8.304534702427969;0.037363265130366;3.081102100877846;0.4142552468839425
1;3;CMA;1;7.907001085183415;8.304566099438823;0.03735163116262295;3.0810978068483483;0.41428905103771946
1;3;CMA;2;7.90700107658371;8.304566172245547;0.03735162303574751;3.0810978650266945;0.41428887605267783
1;3;CMA;3;7.907011484765956;8.304412872440826;0.03736156743325395;3.0804996641952007;0.41553416858665704
1;3;CMA;4;7.907001076596141;8.304566172079264;0.037351623055567724;3.0810978637930293;0.41428887835345857
1;3;CMA;5;7.9070010772461;8.304566165704934;0.03735162488512799;3.0810978685679986;0.4142888685341013
1;3;CMA;6;7.978924479106726;8.319101353948346;0.04318075266082946;3.131943369522597;0.36678620428282166
1;3;CMA;7;7.907142991507795;8.303138254901015;0.037741509541426084;3.0817076938650922;0.4130301836750691
1;3;CMA;8;7.907067447324143;8.304164665332166;0.03744538400004239;3.078713278840066;0.4184841460586428
1;3;CMA;9;7.907001076584455;8.304566172130038;0.037351623038725;3.081097864356763;0.41428887740370185
1;3;CMA;10;7.9070032213646755;8.304546427745871;0.037356455478745866;3.0810721434167467;0.41433474289948463
1;3;CauchyOnePlusOne;1;7.909911657115876;8.313942417927173;0.039219371429207624;3.048340529935588;0.44623509311222365
1;3;CauchyOnePlusOne;2;7.919950997503363;8.337594117158607;0.04097262701007912;2.9948270093273033;0.5049697765142761
1;3;CauchyOnePlusOne;3;7.909617921172334;8.31242117006573;0.03963088251194043;3.049398856446157;0.44365599554852847
1;3;CauchyOnePlusOne;4;7.922730077824625;8.342770493239488;0.041396632018434895;2.983463496368883;0.5172777290275998
1;3;CauchyOnePlusOne;5;7.913196482769513;8.318330444751034;0.04077803546002987;3.0293435913638067;0.46684487844353184
1;3;CauchyOnePlusOne;6;7.907908966944234;8.301139257159498;0.03705182308229237;3.0938649770297593;0.4005105140781224
1;3;CauchyOnePlusOne;7;7.907827547615595;8.30086453642812;0.037425520341559285;3.0926812998668867;0.4003847177633948
1;3;CauchyOnePlusOne;8;7.9076208521167315;8.300329727299351;0.03827840302708222;3.089701853688258;0.40041245588691793
